,Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country,tv_or_film
0,User 1,2022-02-15 19:25:59,00:44:17,,Star Trek: The Next Generation: Season 7: Thine Own Self (Episode 16),,Netflix Chrome MAC (Cadmium) HTML 5,00:44:17,00:44:17,GB (United Kingdom),tv
2,User 1,2022-02-14 19:44:08,00:18:47,,Star Trek: The Next Generation: Season 3: The High Ground (Episode 12),,Netflix Chrome MAC (Cadmium) HTML 5,00:20:29,00:20:29,GB (United Kingdom),tv
3,User 1,2022-02-14 18:57:18,00:43:26,,Star Trek: The Next Generation: Season 3: The Hunted (Episode 11),,Netflix Chrome MAC (Cadmium) HTML 5,00:44:46,00:44:46,GB (United Kingdom),tv
4,User 1,2022-02-14 18:52:42,00:00:09,,Star Trek: The Next Generation: Season 1: Lonely Among Us (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:09,00:00:09,GB (United Kingdom),tv
5,User 1,2022-02-13 22:12:16,00:43:34,,Star Trek: The Next Generation: Season 1: Lonely Among Us (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,00:44:58,Not latest view,GB (United Kingdom),tv
6,User 1,2022-02-13 22:11:36,00:00:04,Autoplayed: user action: None; ,Star Trek: The Next Generation: Season 1_hook_02_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,GB (United Kingdom),tv
15,User 1,2022-02-12 22:08:04,00:02:13,,Trailer: Inventing Anna,TRAILER,Apple iPhone SE Gen 2 iPhone,00:02:13,00:02:13,GB (United Kingdom),tv
23,User 1,2022-02-12 21:55:24,00:01:19,Autoplayed: user action: None; ,November 13: Attack on Paris (Trailer),TRAILER,Apple iPhone SE Gen 2 iPhone,00:01:20,00:01:20,GB (United Kingdom),tv
24,User 1,2022-02-12 21:55:10,00:00:04,Autoplayed: user action: None; ,Season 1 Trailer: Midnight Asia: Eat · Dance · Dream,TRAILER,Apple iPhone SE Gen 2 iPhone,00:00:05,00:00:05,GB (United Kingdom),tv
25,User 1,2022-02-09 19:50:31,00:55:52,,Star Trek: The Next Generation: Season 5: Time's Arrow: Part 1 (Episode 26),,Netflix Chrome MAC (Cadmium) HTML 5,00:27:17,00:27:17,GB (United Kingdom),tv
26,User 1,2022-02-09 19:00:49,00:43:05,,Star Trek: The Next Generation: Season 5: The Inner Light (Episode 25),,Netflix Chrome MAC (Cadmium) HTML 5,00:44:42,00:44:42,GB (United Kingdom),tv
27,User 1,2022-02-09 18:59:16,00:00:47,Autoplayed: user action: None; ,Star Trek: The Next Generation: Season 5: Imaginary Friend (Episode 22),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:48,00:00:48,GB (United Kingdom),tv
28,User 1,2022-02-09 18:09:10,00:43:10,,Star Trek: The Next Generation: Season 5: The Perfect Mate (Episode 21),,Netflix Chrome MAC (Cadmium) HTML 5,00:44:46,00:44:46,GB (United Kingdom),tv
29,User 1,2022-02-09 18:02:32,00:02:04,,Star Trek: The Next Generation: Season 5: Cost of Living (Episode 20),,Netflix Chrome MAC (Cadmium) HTML 5,00:02:05,00:02:05,GB (United Kingdom),tv
30,User 1,2022-02-09 17:16:44,00:43:38,,Star Trek: The Next Generation: Season 5: The First Duty (Episode 19),,Netflix Chrome MAC (Cadmium) HTML 5,00:44:44,00:44:44,GB (United Kingdom),tv
32,User 1,2022-02-08 23:21:03,00:00:05,Autoplayed: user action: None; ,Star Trek: The Next Generation: Season 5: The First Duty (Episode 19),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:06,Not latest view,GB (United Kingdom),tv
33,User 1,2022-02-08 22:38:06,00:42:56,,Star Trek: The Next Generation: Season 5: Cause and Effect (Episode 18),,Netflix Chrome MAC (Cadmium) HTML 5,00:44:32,00:44:32,GB (United Kingdom),tv
34,User 1,2022-02-08 22:37:50,00:00:05,,Star Trek: The Next Generation: Season 5: Cause and Effect (Episode 18),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:05,Not latest view,GB (United Kingdom),tv
35,User 1,2022-02-08 22:36:22,00:00:04,Autoplayed: user action: None; ,Star Trek: The Next Generation: Season 1_hook_01_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,GB (United Kingdom),tv
36,User 1,2022-02-08 22:36:09,00:00:05,Autoplayed: user action: None; ,Star Trek: Season 1_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:05,00:00:05,GB (United Kingdom),tv
37,User 1,2022-02-05 23:07:25,00:22:20,,Star Trek: The Next Generation: Season 3: Who Watches the Watchers (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:44:27,00:44:27,GB (United Kingdom),tv
38,User 1,2022-02-05 22:37:31,00:24:38,,Star Trek: The Next Generation: Season 3: Who Watches the Watchers (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:22:07,Not latest view,GB (United Kingdom),tv
39,User 1,2022-02-05 21:52:09,00:44:43,,Star Trek: The Next Generation: Season 3: The Survivors (Episode 3),,Netflix Chrome MAC (Cadmium) HTML 5,00:44:44,00:44:44,GB (United Kingdom),tv
40,User 1,2022-02-05 21:04:04,00:43:07,,Star Trek: The Next Generation: Season 3: The Ensigns of Command (Episode 2),,Netflix Chrome MAC (Cadmium) HTML 5,00:44:48,00:44:48,GB (United Kingdom),tv
41,User 1,2022-02-05 21:03:45,00:00:03,,Star Trek: The Next Generation: Season 3: The Ensigns of Command (Episode 2),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:03,Not latest view,GB (United Kingdom),tv
42,User 1,2022-02-05 21:00:37,00:00:04,Autoplayed: user action: None; ,Star Trek: Season 1_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,Not latest view,GB (United Kingdom),tv
43,User 1,2022-01-30 23:48:32,00:00:20,Autoplayed: user action: None; ,Star Trek: The Next Generation: Season 1_hook_03_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:20,00:00:20,GB (United Kingdom),tv
44,User 1,2022-01-30 23:47:34,00:00:03,Autoplayed: user action: None; ,Star Trek: The Next Generation: Season 2: The Dauphin (Episode 10),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,GB (United Kingdom),tv
45,User 1,2022-01-30 23:02:42,00:43:27,,Star Trek: The Next Generation: Season 2: The Measure of a Man (Episode 9),,Netflix Chrome MAC (Cadmium) HTML 5,00:44:45,00:44:45,GB (United Kingdom),tv
47,User 1,2022-01-30 22:59:20,00:00:50,Autoplayed: user action: None; ,South Park: Season 21: Sons a Witches (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,00:01:00,00:01:00,GB (United Kingdom),tv
48,User 1,2022-01-30 22:36:11,00:21:31,,South Park: Season 21: Hummels & Heroin (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:22:09,00:22:09,GB (United Kingdom),tv
49,User 1,2022-01-30 22:14:54,00:21:12,,South Park: Season 21: Franchise Prequel (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:15,00:21:15,GB (United Kingdom),tv
50,User 1,2022-01-30 22:14:40,00:00:03,,South Park: Season 21: Franchise Prequel (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:03,Not latest view,GB (United Kingdom),tv
51,User 1,2022-01-30 22:11:31,00:00:20,Autoplayed: user action: None; ,South Park Top Episodes_hook_02_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:20,00:00:20,GB (United Kingdom),tv
52,User 1,2022-01-29 19:10:06,00:00:05,Autoplayed: user action: None; ,Star Trek: The Next Generation: Season 1_hook_03_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:11,Not latest view,GB (United Kingdom),tv
