Q1_consent,Q2_Over18,Q3_Residentuk,Q1_knowledge,Q2_Knowledge,Q6_Konwledge,Q7_Knowledge,Q8_Knowledge,Q9_Knowledge,Q10_Knowledge,Q1_bisonimpacts,Q2_bisonimpacts,Q3_bisonimpacts,Q4_bisonimpacts,Q5_bisonimpacts,Q6_bisonimpacts,Q7_bisonimpacts,Q8_bisonimpacts,Q9_bisonimpacts,Q10_bisonimpacts,Q11_bisonimpacts,Q12_bisonimpacts,Q1_reintroduction,Q2_reintroduction,Q3_reintroduction,Q4_reintroduction,Q5_reintroduction,Q6_reintroduction,Q7_reintroductionother,Q7_reintroduction,Q22_demoage,Q23_demoage,Q24_demoage,Q25_demoage,Q26_demoage,Q27_demoage,Q28_demoage,Q29_gender,Q30_Ethnicity,Q31_Ethnicityother,Q32_Occupation,Q33_Educationlevel,Q34_Placeofresidence,Q_LocationUK,Q30_wheresurvey,Q30_other
1,1,1,2,2,1,3,1,2,3,2,2,4,2,2,2,2,2,2,2,2,4,1,1,1,1,3,2, ,4,0,0,0,0,1,0,0,1,1, ,27,5,3,7,1, 
1,1,1,2,2,1,3,1,2,3,1,4,5,1,3,1,2,1,1,1,3,2,1,1,1,1,1,2, ,6,0,1,0,0,0,0,0,2,1, ,8,5,2,7,6,email
1,1,1,2,1,1,3,1,2,3,2,2,2,1,4,2,2,1,1,1,1,1,1,1,1,1,2,2, ,10,1,0,0,0,0,0,0,1,1, ,8,6,4,4,1, 
1,1,1,2,2,1,3,1,2,3,3,3,3,2,3,2,3,2,3,2,2,4,2,2,1,1,3,9, ,3,0,0,0,0,0,1,0,1,1, ,7,6,3,7,1, 
1,1,1,2,2,1,3,1,2,3,2,2,5,1,2,2,2,1,2,5,1,2,2,1,3,1,4,2, ,2,0,0,0,0,1,0,0,1,9, ,7,6,2,7,4, 
1,1,1,1,2,2,3,3,4,5,3,3,3,2,3,3,2,1,3,2,3,2,2,2,3,3,2,2, ,3,1,0,0,0,0,0,0,1,4, ,2,5,1,2,4, 
1,1,1,2,2,1,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,4, ,8,0,1,0,0,0,0,0,2,1, ,2,5,1,2,3, 
1,1,1,2,2,1,3,1,2,3,2,2,3,1,1,2,1,1,1,2,2,3,1,1,1,1,3,4, ,4,0,0,1,0,0,0,0,1,1, ,8,5,3,7,6,Through work
1,1,1,2,2,1,3,1,2,3,2,2,5,1,1,2,2,1,1,2,1,1,1,2,1,1,2,5, ,9,1,0,0,0,0,0,0,2,7, ,23,5,1,7,4, 
1,1,1,2,2,1,3,1,2,3,1,4,4,1,2,1,3,1,2,1,2,2,2,1,1,1,3,9, ,6,0,1,0,0,0,0,0,2,1, ,8,6,2,8,3, 
1,1,1,2,2,1,3,2,1,3,2,2,3,3,1,3,2,3,1,3,5,2,3,1,3,3,4,2, ,8,0,0,0,0,0,1,0,2,1, ,8,6,3,8,3, 
2,1,1,2,2,3,3,1,2,3,3,2,4,3,2,2,4,3,4,3,2,3,4,2,2,2,1,4, ,9,0,0,0,0,1,0,0,2,1, ,16,5,1,2,3, 
