,human_impact,economy_impact,resources_impact,environment_impact,knowledge,overall_bison_impacts,Q1_reintroduction,18_24,25_34,35_44,45_54,55_64,65_74,over_75,Q34_Placeofresidence,Q33_Educationlevel,Q29_gender,Q32_Occupation
0,13,12,12,16,7,44,5,0,0,0,0,1,0,0,3,5,1,27
1,11,12,13,19,7,47,5,0,1,0,0,0,0,0,2,5,2,8
2,12,12,12,23,6,52,5,1,0,0,0,0,0,0,4,6,1,8
3,11,10,11,15,7,40,4,0,0,0,0,0,1,0,3,6,1,7
4,13,12,14,14,7,45,4,0,0,0,0,1,0,0,2,6,1,7
6,12,12,12,21,6,49,4,0,1,0,0,0,0,0,1,5,2,2
7,14,12,15,20,7,51,5,0,0,1,0,0,0,0,3,5,1,8
8,15,12,15,19,7,51,5,1,0,0,0,0,0,0,1,5,2,23
9,12,12,14,18,7,48,4,0,1,0,0,0,0,0,2,6,2,8
10,9,11,11,19,5,42,3,0,0,0,0,0,1,0,3,6,2,8
11,10,11,10,12,6,37,2,0,0,0,0,1,0,0,1,5,2,16
12,9,9,8,15,7,36,3,0,0,0,0,1,0,0,4,5,2,8
13,13,11,11,18,5,45,4,0,0,0,0,1,0,0,2,6,2,8
14,8,9,7,9,7,29,2,0,0,1,0,0,0,0,5,5,2,9
15,7,9,7,11,7,30,2,0,0,0,0,1,0,0,5,6,1,8
16,7,8,8,10,6,29,2,0,0,1,0,0,0,0,4,5,1,8
17,10,12,10,13,7,39,3,0,0,1,0,0,0,0,4,6,1,8
18,13,10,13,17,7,45,5,0,1,0,0,0,0,0,3,6,1,8
19,14,10,14,22,6,51,5,0,0,0,0,1,0,0,4,6,1,27
20,12,12,13,20,7,49,5,0,1,0,0,0,0,0,1,5,3,2
21,13,11,14,20,6,48,5,0,0,0,0,1,0,0,4,6,1,12
22,14,14,12,17,6,48,5,1,0,0,0,0,0,0,1,4,2,14
23,12,12,12,14,7,43,5,0,1,0,0,0,0,0,2,6,2,16
24,15,11,15,23,3,54,5,0,0,1,0,0,0,0,1,6,1,8
25,12,10,14,13,7,40,5,1,0,0,0,0,0,0,1,5,1,27
26,10,12,12,14,6,42,4,1,0,0,0,0,0,0,2,5,2,8
27,12,14,12,19,6,50,5,0,1,0,0,0,0,0,1,6,1,8
29,9,9,11,15,4,38,3,1,0,0,0,0,0,0,3,5,1,12
30,9,12,8,13,6,35,3,0,0,0,0,1,0,0,3,3,2,27
32,12,13,12,14,6,44,5,0,0,1,0,0,0,0,1,5,2,8
33,10,13,10,13,6,40,4,0,0,0,0,0,1,0,2,3,2,27
34,13,11,14,18,7,47,5,0,0,1,0,0,0,0,3,4,2,25
35,12,9,13,18,5,44,5,0,0,0,0,0,1,0,3,5,2,17
36,15,13,15,20,4,53,5,0,0,0,0,0,1,0,1,5,2,27
37,10,10,11,12,7,36,4,0,0,0,0,1,0,0,5,6,1,8
38,13,13,13,20,4,51,5,0,0,0,0,1,0,0,3,5,1,16
40,14,13,14,17,6,49,5,0,1,0,0,0,0,0,1,6,2,8
41,10,10,13,16,4,42,4,0,0,1,0,0,0,0,4,6,1,2
42,9,8,8,11,7,31,2,0,0,0,1,0,0,0,5,5,2,9
43,13,13,14,14,4,45,5,0,0,0,1,0,0,0,1,6,2,13
44,11,12,7,11,6,35,4,1,0,0,0,0,0,0,2,4,2,14
45,8,13,8,12,6,34,4,0,0,1,0,0,0,0,3,4,2,27
46,15,12,15,24,6,56,5,0,0,1,0,0,0,0,3,5,2,27
47,14,13,14,20,7,52,5,1,0,0,0,0,0,0,1,4,2,7
48,10,14,12,17,7,46,5,0,0,0,0,0,1,0,3,6,2,27
49,15,11,12,19,7,47,5,1,0,0,0,0,0,0,1,6,1,24
50,8,9,9,15,4,35,3,0,0,0,1,0,0,0,2,6,5,7
51,14,11,14,18,6,48,5,0,1,0,0,0,0,0,1,5,1,14
52,13,9,13,17,7,44,5,0,1,0,0,0,0,0,5,6,2,24
53,10,11,10,11,7,36,3,0,1,0,0,0,0,0,4,5,1,8
54,11,10,11,12,4,37,3,1,0,0,0,0,0,0,2,5,1,24
