,knowledge,bison_impacts,Q1_reintroduction,18_24,25_34,35_44,45_54,55_64,65_74,over_75,Q34_Placeofresidence,Q33_Educationlevel,Q29_gender,Q32_Occupation
0,7,32,1,0,0,0,0,1,0,0,3,5,1,27
1,7,27,1,0,1,0,0,0,0,0,2,5,2,8
2,6,32,1,1,0,0,0,0,0,0,4,6,1,8
3,7,30,2,0,0,0,0,0,1,0,3,6,1,7
4,7,33,2,0,0,0,0,1,0,0,2,6,1,7
5,2,34,2,1,0,0,0,0,0,0,1,5,1,2
6,6,37,2,0,1,0,0,0,0,0,1,5,2,2
7,7,35,1,0,0,1,0,0,0,0,3,5,1,8
8,7,33,1,1,0,0,0,0,0,0,1,5,2,23
9,7,26,2,0,1,0,0,0,0,0,2,6,2,8
10,5,44,3,0,0,0,0,0,1,0,3,6,2,8
11,6,33,4,0,0,0,0,1,0,0,1,5,2,16
12,7,34,3,0,0,0,0,1,0,0,4,5,2,8
13,5,35,2,0,0,0,0,1,0,0,2,6,2,8
14,7,35,4,0,0,1,0,0,0,0,5,5,2,9
15,7,34,4,0,0,0,0,1,0,0,5,6,1,8
16,6,29,4,0,0,1,0,0,0,0,4,5,1,8
17,7,29,3,0,0,1,0,0,0,0,4,6,1,8
18,7,25,1,0,1,0,0,0,0,0,3,6,1,8
19,6,35,1,0,0,0,0,1,0,0,4,6,1,27
20,7,31,1,0,1,0,0,0,0,0,1,5,3,2
21,6,34,1,0,0,0,0,1,0,0,4,6,1,12
22,6,28,1,1,0,0,0,0,0,0,1,4,2,14
23,7,19,1,0,1,0,0,0,0,0,2,6,2,16
24,3,38,1,0,0,1,0,0,0,0,1,6,1,8
25,7,26,1,1,0,0,0,0,0,0,1,5,1,27
26,6,26,2,1,0,0,0,0,0,0,2,5,2,8
27,6,26,1,0,1,0,0,0,0,0,1,6,1,8
28,5,34,3,0,0,0,1,0,0,0,5,6,1,9
29,4,34,3,1,0,0,0,0,0,0,3,5,1,12
30,6,35,3,0,0,0,0,1,0,0,3,3,2,27
31,6,36,5,0,0,0,0,1,0,0,2,6,2,8
32,6,20,1,0,0,1,0,0,0,0,1,5,2,8
33,6,30,2,0,0,0,0,0,1,0,2,3,2,27
34,7,33,1,0,0,1,0,0,0,0,3,4,2,25
35,5,34,1,0,0,0,0,0,1,0,3,5,2,17
36,4,31,1,0,0,0,0,0,1,0,1,5,2,27
37,7,24,2,0,0,0,0,1,0,0,5,6,1,8
38,4,31,1,0,0,0,0,1,0,0,3,5,1,16
39,7,26,4,0,0,0,0,1,0,0,2,4,2,8
40,6,29,1,0,1,0,0,0,0,0,1,6,2,8
41,4,28,2,0,0,1,0,0,0,0,4,6,1,2
42,7,33,4,0,0,0,1,0,0,0,5,5,2,9
43,4,29,1,0,0,0,1,0,0,0,1,6,2,13
44,6,31,2,1,0,0,0,0,0,0,2,4,2,14
45,6,36,2,0,0,1,0,0,0,0,3,4,2,27
46,6,36,1,0,0,1,0,0,0,0,3,5,2,27
47,7,30,1,1,0,0,0,0,0,0,1,4,2,7
48,7,28,1,0,0,0,0,0,1,0,3,6,2,27
49,7,33,1,1,0,0,0,0,0,0,1,6,1,24
50,4,37,3,0,0,0,1,0,0,0,2,6,5,7
51,6,28,1,0,1,0,0,0,0,0,1,5,1,14
52,7,26,1,0,1,0,0,0,0,0,5,6,2,24
53,7,28,3,0,1,0,0,0,0,0,4,5,1,8
54,4,29,3,1,0,0,0,0,0,0,2,5,1,24
55,5,27,1,1,0,0,0,0,0,0,3,5,1,24
56,7,30,2,0,0,1,0,0,0,0,4,6,2,8
57,6,31,1,0,0,0,1,0,0,0,2,5,2,7
58,5,32,1,0,1,0,0,0,0,0,1,5,2,18
59,5,33,1,0,0,0,0,0,1,0,3,5,1,27
60,7,27,1,0,1,0,0,0,0,0,3,6,1,8
61,6,30,2,0,0,0,0,0,1,0,4,5,1,27
62,7,29,2,1,0,0,0,0,0,0,1,6,1,24
63,7,33,1,0,0,0,0,0,1,0,2,4,2,15
64,5,28,1,0,1,0,0,0,0,0,4,5,1,23
