,human_impact,economy_impact,resources_impact,environment_impact,knowledge,overall_bison_impacts,Q1_reintroduction,18_24,25_34,35_44,45_54,55_64,65_74,over_75,Q34_Placeofresidence,Q33_Educationlevel,Q29_gender,Q32_Occupation
0,5,6,6,14,7,28,1,0,0,0,0,1,0,0,3,5,1,27
1,7,6,5,11,7,25,1,0,1,0,0,0,0,0,2,5,2,8
2,6,6,6,7,6,20,1,1,0,0,0,0,0,0,4,6,1,8
3,7,8,7,15,7,32,2,0,0,0,0,0,1,0,3,6,1,7
4,5,6,4,16,7,27,2,0,0,0,0,1,0,0,2,6,1,7
6,6,6,6,9,6,23,2,0,1,0,0,0,0,0,1,5,2,2
7,4,6,3,10,7,21,1,0,0,1,0,0,0,0,3,5,1,8
8,3,6,3,11,7,21,1,1,0,0,0,0,0,0,1,5,2,23
9,6,6,4,12,7,24,2,0,1,0,0,0,0,0,2,6,2,8
10,9,7,7,11,5,30,3,0,0,0,0,0,1,0,3,6,2,8
11,8,7,8,18,6,35,4,0,0,0,0,1,0,0,1,5,2,16
12,9,9,10,15,7,36,3,0,0,0,0,1,0,0,4,5,2,8
13,5,7,7,12,5,27,2,0,0,0,0,1,0,0,2,6,2,8
14,10,9,11,21,7,43,4,0,0,1,0,0,0,0,5,5,2,9
15,11,9,11,19,7,42,4,0,0,0,0,1,0,0,5,6,1,8
16,11,10,10,20,6,43,4,0,0,1,0,0,0,0,4,5,1,8
17,8,6,8,17,7,33,3,0,0,1,0,0,0,0,4,6,1,8
18,5,8,5,13,7,27,1,0,1,0,0,0,0,0,3,6,1,8
19,4,8,4,8,6,21,1,0,0,0,0,1,0,0,4,6,1,27
20,6,6,5,10,7,23,1,0,1,0,0,0,0,0,1,5,3,2
21,5,7,4,10,6,24,1,0,0,0,0,1,0,0,4,6,1,12
22,4,4,6,13,6,24,1,1,0,0,0,0,0,0,1,4,2,14
23,6,6,6,16,7,29,1,0,1,0,0,0,0,0,2,6,2,16
24,3,7,3,7,3,18,1,0,0,1,0,0,0,0,1,6,1,8
25,6,8,4,17,7,32,1,1,0,0,0,0,0,0,1,5,1,27
26,8,6,6,16,6,30,2,1,0,0,0,0,0,0,2,5,2,8
27,6,4,6,11,6,22,1,0,1,0,0,0,0,0,1,6,1,8
29,9,9,7,15,4,34,3,1,0,0,0,0,0,0,3,5,1,12
30,9,6,10,17,6,37,3,0,0,0,0,1,0,0,3,3,2,27
32,6,5,6,16,6,28,1,0,0,1,0,0,0,0,1,5,2,8
33,8,5,8,17,6,32,2,0,0,0,0,0,1,0,2,3,2,27
34,5,7,4,12,7,25,1,0,0,1,0,0,0,0,3,4,2,25
35,6,9,5,12,5,28,1,0,0,0,0,0,1,0,3,5,2,17
36,3,5,3,10,4,19,1,0,0,0,0,0,1,0,1,5,2,27
37,8,8,7,18,7,36,2,0,0,0,0,1,0,0,5,6,1,8
38,5,5,5,10,4,21,1,0,0,0,0,1,0,0,3,5,1,16
40,4,5,4,13,6,23,1,0,1,0,0,0,0,0,1,6,2,8
41,8,8,5,14,4,30,2,0,0,1,0,0,0,0,4,6,1,2
42,9,10,10,19,7,41,4,0,0,0,1,0,0,0,5,5,2,9
43,5,5,4,16,4,27,1,0,0,0,1,0,0,0,1,6,2,13
44,7,6,11,19,6,37,2,1,0,0,0,0,0,0,2,4,2,14
45,10,5,10,18,6,38,2,0,0,1,0,0,0,0,3,4,2,27
46,3,6,3,6,6,16,1,0,0,1,0,0,0,0,3,5,2,27
47,4,5,4,10,7,20,1,1,0,0,0,0,0,0,1,4,2,7
48,8,4,6,13,7,26,1,0,0,0,0,0,1,0,3,6,2,27
49,3,7,6,11,7,25,1,1,0,0,0,0,0,0,1,6,1,24
50,10,9,9,15,4,37,3,0,0,0,1,0,0,0,2,6,5,7
51,4,7,4,12,6,24,1,0,1,0,0,0,0,0,1,5,1,14
52,5,9,5,13,7,28,1,0,1,0,0,0,0,0,5,6,2,24
53,8,7,8,19,7,36,3,0,1,0,0,0,0,0,4,5,1,8
54,7,8,7,18,4,35,3,1,0,0,0,0,0,0,2,5,1,24
